experiment,seq_len,model,latent,avg_mse,avg_r2,corr
iod,14,lstm,encoder,0.32271299349225085,-1.2182399138160374,0.34480017959490905
iod,14,lstm,decoder,0.32892334040092386,-1.29795961017194,0.33244789539281056
iod,14,transformer,encoder,0.31248811794363934,-1.1258535747942717,0.41624317154916035
iod,14,transformer,decoder,0.3036247637608777,-1.1448479035626287,0.4329085756706012
iod,14,joint,encoder,0.36188479804474377,-1.5836683926375017,0.31953715780719627
iod,14,joint,decoder,0.31142073966886685,-1.2127906317296235,0.3934340845584791
