experiment,seq_len,model,latent,avg_mse,avg_r2,corr
iod,21,lstm,encoder,0.34987260498430417,-1.5474160495011702,0.29554311991117943
iod,21,lstm,decoder,0.31575819979543274,-1.2051563522090083,0.3660156334554103
iod,21,transformer,encoder,0.32098235805397446,-1.4131439613259358,0.4246398510312762
iod,21,transformer,decoder,0.29539468528135965,-1.238895312599514,0.4724700509117077
iod,21,joint,encoder,0.34508994545625604,-1.5274517069692197,0.3351341587786916
iod,21,joint,decoder,0.34518823837456497,-1.5959569474925166,0.347485230023893
