experiment,seq_len,model,latent,avg_mse,avg_r2,corr
iod,7,lstm,encoder,0.3219768505381501,-1.0535938065984976,0.32811103723624024
iod,7,lstm,decoder,0.3303544126127077,-1.2705758032591448,0.3107902853403293
iod,7,transformer,encoder,0.30071310180684796,-1.029046874979268,0.4216099825385337
iod,7,transformer,decoder,0.3043361267317896,-1.0733848499215168,0.4021973320816118
iod,7,joint,encoder,0.3342387543424316,-1.2462853582009026,0.35157193221109734
iod,7,joint,decoder,0.32034458479155664,-1.0964119304781375,0.36904622823100064
