experiment,seq_len,model,latent,avg_mse,avg_r2,bivariate_corr
miso,1,lstm,encoder,0.6103053987026215,0.4217048909353173,0.6962627172470093
miso,1,lstm,decoder,0.6419855628324591,0.39426676345908124,0.6803483366966248
miso,1,transformer,encoder,0.5930793246497279,0.441318964180739,0.7163771986961365
miso,1,transformer,decoder,0.5825581006381823,0.44996171930561896,0.7246411442756653
miso,1,joint,encoder,0.6159651473812435,0.42270431440809497,0.7059518098831177
miso,1,joint,decoder,0.6112595472646796,0.4087016180805538,0.7075433731079102
