experiment,seq_len,model,latent,avg_mse,avg_r2,bivariate_corr
miso,14,lstm,encoder,0.45793861280316894,0.5715651447358339,0.7819007635116577
miso,14,lstm,decoder,0.5042399660400723,0.5085797206215237,0.7562599182128906
miso,14,transformer,encoder,0.28498802269282547,0.7333764161752618,0.8696082830429077
miso,14,transformer,decoder,0.2927058410385381,0.7301895411118217,0.866401195526123
miso,14,joint,encoder,0.3051265063493148,0.7269955821659254,0.8605822324752808
miso,14,joint,decoder,0.30028542746668274,0.7333546345648558,0.862265944480896
