experiment,seq_len,model,latent,avg_mse,avg_r2,bivariate_corr
mjo,7,lstm,encoder,0.5631581778111665,0.2928466654342154,0.6469048261642456
mjo,7,lstm,decoder,0.5629716994969741,0.29421760595363117,0.6444316506385803
mjo,7,transformer,encoder,0.3136673323486162,0.6019703927247421,0.8181246519088745
mjo,7,transformer,decoder,0.34139539560546045,0.5665005924909011,0.8013788461685181
mjo,7,joint,encoder,0.3415208601433298,0.5793845485086027,0.7991461753845215
mjo,7,joint,decoder,0.36516186594963074,0.5515120107194652,0.7836095094680786
