experiment,seq_len,model,latent,avg_mse,avg_r2,bivariate_corr
mjo,14,lstm,encoder,0.6057428147481836,0.1910108392653258,0.5958471894264221
mjo,14,lstm,decoder,0.6090595074321913,0.19254701163457788,0.5928074717521667
mjo,14,transformer,encoder,0.33288830389147217,0.5510507407395736,0.7983617782592773
mjo,14,transformer,decoder,0.3325782359942146,0.5461335635703543,0.7991994023323059
mjo,14,joint,encoder,0.35051805752774945,0.527622798214788,0.7859610319137573
mjo,14,joint,decoder,0.36372992461142334,0.5094362950843313,0.77765953540802
